2026-05-12 19:11:20 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 19:11:20 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1046ms)
2026-05-12 19:11:20 | INFO     | core.embedder | Fitting LSA: 36 texts → 35 dims
2026-05-12 19:11:20 | INFO     | core.embedder | LSA fit: vocab=1538, dim=35, n=36, 31ms
2026-05-12 19:11:20 | INFO     | core.vector_store | Added 36 vectors. Store total: 36 (docs: testing )
2026-05-12 19:11:20 | INFO     | core.vector_store | VectorStore saved: 36 vectors → C:\Users\princ\OneDrive\Desktop\study_copilot\data\vector_cache\vectors.npz
2026-05-12 19:11:30 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 19:12:29 | DEBUG    | core.vector_store | Search: 6 results (threshold=0.10) in 16ms
2026-05-12 19:26:28 | INFO     | core.vector_store | VectorStore loaded: 36 vectors, docs: testing 
2026-05-12 19:26:28 | INFO     | core.embedder | Fitting LSA: 36 texts → 35 dims
2026-05-12 19:26:28 | INFO     | core.embedder | LSA fit: vocab=1538, dim=35, n=36, 78ms
2026-05-12 19:26:41 | INFO     | core.vector_store | VectorStore loaded: 36 vectors, docs: testing 
2026-05-12 19:26:41 | INFO     | core.embedder | Fitting LSA: 36 texts → 35 dims
2026-05-12 19:26:41 | INFO     | core.embedder | LSA fit: vocab=1538, dim=35, n=36, 62ms
2026-05-12 19:26:44 | INFO     | core.vector_store | VectorStore loaded: 36 vectors, docs: testing 
2026-05-12 19:26:44 | INFO     | core.embedder | Fitting LSA: 36 texts → 35 dims
2026-05-12 19:26:44 | INFO     | core.embedder | LSA fit: vocab=1538, dim=35, n=36, 47ms
2026-05-12 19:27:12 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 19:27:14 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 19:27:14 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 19:27:14 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1030ms)
2026-05-12 19:27:14 | INFO     | core.embedder | Fitting LSA: 54 texts → 53 dims
2026-05-12 19:27:14 | INFO     | core.embedder | LSA fit: vocab=1538, dim=53, n=54, 78ms
2026-05-12 19:27:14 | INFO     | core.vector_store | Added 54 vectors. Store total: 54 (docs: testing )
2026-05-12 19:27:14 | INFO     | core.vector_store | VectorStore saved: 54 vectors → C:\Users\princ\OneDrive\Desktop\study_copilot\data\vector_cache\vectors.npz
2026-05-12 19:27:41 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 19:33:44 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 19:33:45 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 19:33:45 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 19:33:45 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 983ms)
2026-05-12 19:33:45 | INFO     | core.embedder | Fitting LSA: 72 texts → 71 dims
2026-05-12 19:33:45 | INFO     | core.embedder | LSA fit: vocab=1538, dim=71, n=72, 157ms
2026-05-12 19:33:45 | INFO     | core.vector_store | Added 72 vectors. Store total: 72 (docs: testing )
2026-05-12 19:33:45 | INFO     | core.vector_store | VectorStore saved: 72 vectors → C:\Users\princ\OneDrive\Desktop\study_copilot\data\vector_cache\vectors.npz
2026-05-12 19:34:05 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 19:38:52 | INFO     | core.vector_store | VectorStore loaded: 72 vectors, docs: testing 
2026-05-12 19:38:52 | INFO     | core.embedder | Fitting LSA: 72 texts → 71 dims
2026-05-12 19:38:52 | INFO     | core.embedder | LSA fit: vocab=1538, dim=71, n=72, 233ms
2026-05-12 19:38:52 | INFO     | core.vector_store | VectorStore loaded: 72 vectors, docs: testing 
2026-05-12 19:38:52 | INFO     | core.embedder | Fitting LSA: 72 texts → 71 dims
2026-05-12 19:38:53 | INFO     | core.embedder | LSA fit: vocab=1538, dim=71, n=72, 264ms
2026-05-12 19:39:16 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 19:39:17 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 19:39:17 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 19:39:17 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1000ms)
2026-05-12 19:39:17 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 19:39:18 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 250ms
2026-05-12 19:39:18 | INFO     | core.vector_store | Added 90 vectors. Store total: 90 (docs: testing )
2026-05-12 19:39:18 | INFO     | core.vector_store | VectorStore saved: 90 vectors → C:\Users\princ\OneDrive\Desktop\study_copilot\data\vector_cache\vectors.npz
2026-05-12 19:44:46 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 19:44:46 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 19:44:47 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 375ms
2026-05-12 19:44:47 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 19:44:47 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 19:44:47 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 375ms
2026-05-12 19:45:35 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 19:45:35 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 19:45:35 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 266ms
2026-05-12 19:45:37 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 19:45:37 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 19:45:38 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 359ms
2026-05-12 19:46:49 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 19:52:54 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 19:52:54 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 19:52:54 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 389ms
2026-05-12 19:52:57 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 19:52:57 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 19:52:57 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 358ms
2026-05-12 19:53:50 | DEBUG    | core.vector_store | Search: 8 results (threshold=0.10) in 0ms
2026-05-12 20:04:16 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 20:04:16 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 20:04:16 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 20:04:16 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 20:04:17 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 718ms
2026-05-12 20:04:17 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 718ms
2026-05-12 20:04:59 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 20:04:59 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 20:04:59 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 280ms
2026-05-12 20:05:02 | INFO     | core.vector_store | VectorStore loaded: 90 vectors, docs: testing 
2026-05-12 20:05:02 | INFO     | core.embedder | Fitting LSA: 90 texts → 89 dims
2026-05-12 20:05:02 | INFO     | core.embedder | LSA fit: vocab=1538, dim=89, n=90, 469ms
2026-05-12 20:05:41 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 20:11:36 | INFO     | core.pdf_processor | Parsing PDF: reliability_qmssa (hash=1f5c3f9234220114)
2026-05-12 20:11:37 | DEBUG    | core.pdf_processor | pdfplumber: 24 pages extracted
2026-05-12 20:11:37 | DEBUG    | core.pdf_processor | Chunked reliability_qmssa: 24 pages → 45 chunks
2026-05-12 20:11:37 | INFO     | core.pdf_processor | reliability_qmssa: 24 pages, 45 chunks, 10,165 chars (pdfplumber, 1577ms)
2026-05-12 20:11:37 | INFO     | core.embedder | Fitting LSA: 135 texts → 134 dims
2026-05-12 20:11:38 | INFO     | core.embedder | LSA fit: vocab=2722, dim=134, n=135, 360ms
2026-05-12 20:11:38 | INFO     | core.vector_store | Added 135 vectors. Store total: 135 (docs: reliability_qmssa, testing )
2026-05-12 20:11:38 | INFO     | core.vector_store | VectorStore saved: 135 vectors → C:\Users\princ\OneDrive\Desktop\study_copilot\data\vector_cache\vectors.npz
2026-05-12 20:12:21 | DEBUG    | core.vector_store | Search: 16 results (threshold=0.10) in 0ms
2026-05-12 22:34:10 | INFO     | core.vector_store | VectorStore loaded: 135 vectors, docs: reliability_qmssa, testing 
2026-05-12 22:34:10 | INFO     | core.embedder | Fitting LSA: 135 texts → 134 dims
2026-05-12 22:34:10 | INFO     | core.embedder | LSA fit: vocab=2722, dim=134, n=135, 578ms
2026-05-12 22:34:19 | INFO     | core.vector_store | VectorStore loaded: 135 vectors, docs: reliability_qmssa, testing 
2026-05-12 22:34:19 | INFO     | core.embedder | Fitting LSA: 135 texts → 134 dims
2026-05-12 22:34:20 | INFO     | core.embedder | LSA fit: vocab=2722, dim=134, n=135, 453ms
2026-05-12 22:34:23 | INFO     | core.vector_store | VectorStore loaded: 135 vectors, docs: reliability_qmssa, testing 
2026-05-12 22:34:23 | INFO     | core.embedder | Fitting LSA: 135 texts → 134 dims
2026-05-12 22:34:24 | INFO     | core.embedder | LSA fit: vocab=2722, dim=134, n=135, 530ms
2026-05-12 22:35:30 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 14ms
2026-05-12 22:36:10 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:36:17 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 16ms
2026-05-12 22:36:20 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:36:27 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:36:27 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:36:57 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:37:17 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:38:18 | INFO     | core.vector_store | VectorStore loaded: 135 vectors, docs: reliability_qmssa, testing 
2026-05-12 22:38:18 | INFO     | core.embedder | Fitting LSA: 135 texts → 134 dims
2026-05-12 22:38:18 | INFO     | core.vector_store | VectorStore loaded: 135 vectors, docs: reliability_qmssa, testing 
2026-05-12 22:38:18 | INFO     | core.embedder | Fitting LSA: 135 texts → 134 dims
2026-05-12 22:38:19 | INFO     | core.embedder | LSA fit: vocab=2722, dim=134, n=135, 1031ms
2026-05-12 22:38:19 | INFO     | core.embedder | LSA fit: vocab=2722, dim=134, n=135, 812ms
2026-05-12 22:38:46 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 16ms
2026-05-12 22:39:21 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:39:41 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:40:03 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:40:39 | DEBUG    | core.vector_store | Search: 10 results (threshold=0.10) in 0ms
2026-05-12 22:41:04 | INFO     | core.vector_store | VectorStore reset.
2026-05-12 22:41:15 | INFO     | core.pdf_processor | Parsing PDF: testing  (hash=5fec98af616fe24e)
2026-05-12 22:41:17 | DEBUG    | core.pdf_processor | pdfplumber: 6 pages extracted
2026-05-12 22:41:17 | DEBUG    | core.pdf_processor | Chunked testing : 6 pages → 18 chunks
2026-05-12 22:41:17 | INFO     | core.pdf_processor | testing : 6 pages, 18 chunks, 10,449 chars (pdfplumber, 1718ms)
2026-05-12 22:41:17 | INFO     | core.embedder | Fitting LSA: 18 texts → 17 dims
2026-05-12 22:41:17 | INFO     | core.embedder | LSA fit: vocab=1538, dim=17, n=18, 16ms
2026-05-12 22:41:17 | INFO     | core.vector_store | Added 18 vectors. Store total: 18 (docs: testing )
2026-05-12 22:41:17 | INFO     | core.vector_store | VectorStore saved: 18 vectors → C:\Users\princ\OneDrive\Desktop\study_copilot\data\vector_cache\vectors.npz
